Trascrizione,Standard,Gruppo 0,Gruppo 1,Gruppo 2,Gruppo 3,Gruppo 4,Corporazione
madonner,madoner,madonnaio,madonnaio,decorazioni e mestieri dell'arte,decorazioni e mestieri dell'arte,beni,dipintori
manganer,manganer,lustratore di seta e lana,lustratore di seta e lana,seta,abbigliamento,beni,
marangon,marangon,falegname - generico,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon,marangon,falegname - generico,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon all'arsenal,marangon,falegname - generico,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon caregha,marangon da careghe,falegname - diverse specializzazioni,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da cariege,marangon da careghe,falegname - diverse specializzazioni,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da carozze,marangon da casse,mobiliere,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da case,marangon da casse,mobiliere,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da case da spechi d'ebano,marangon da casse da specchi d'ebano,mobiliere - diverse specializzazioni,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da casse,marangon da casse,mobiliere,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da casse da mogheno,marangon da casse da noghera,mobiliere - diverse specializzazioni,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da casse da mogheno,marangon da casse da noghera,mobiliere - diverse specializzazioni,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da casse da noghera,marangon da casse da noghera,mobiliere - diverse specializzazioni,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da casse da specchi,marangon da casse da specchi,mobiliere - diverse specializzazioni,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da casse da specchi,marangon da casse da specchi,mobiliere - diverse specializzazioni,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da casse da specchio,marangon da casse da specchi,mobiliere - diverse specializzazioni,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da casse da spechi,marangon da casse da specchi,mobiliere - diverse specializzazioni,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da casse de mogheno,marangon da casse da noghera,mobiliere - diverse specializzazioni,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da casse di ebano,marangon da casse da ebano,mobiliere - diverse specializzazioni,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da caxe,marangon da casse,mobiliere,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da ebano,marangon da ebano,mobiliere - diverse specializzazioni,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da fabbriche,marangon da fabriche,falegname edile,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da fabrica,marangon da fabriche,falegname edile,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da fabriche,marangon da fabriche,falegname edile,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da noghera,marangon da noghera,mobiliere - diverse specializzazioni,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da remeri,marangon da remessi,impiallacciatore,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da remessi,marangon da remessi,impiallacciatore,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da remessi,marangon da remessi,impiallacciatore,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da rimessi,marangon da remessi,impiallacciatore,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da rimessi,marangon da remessi,impiallacciatore,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da soaze,marangon da soaze,corniciaio,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da sottile,marangon da sutilo,stipettaio,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon da sutilo,marangon da sutilo,stipettaio,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon de case,marangon da casse,mobiliere,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon de casse da specchi,marangon da casse da specchi,mobiliere - diverse specializzazioni,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon de casse de spechi,marangon da casse da specchi,mobiliere - diverse specializzazioni,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon de le chioere,marangon da chioere,falegname - diverse specializzazioni,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon de legnami,marangon da legnami,falegname - diverse specializzazioni,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon de soaze,marangon da soaze,corniciaio,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marangon marangon da noghera,marangon da noghera,mobiliere - diverse specializzazioni,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
marcer,marzer,marzer,merciaio,merciai,commercio,servizi,marzeri
marcer,marzer,marzer,merciaio,merciai,commercio,servizi,marzeri
marcier,marzer,marzer,merciaio,merciai,commercio,servizi,marzeri
margariter,margariter,paternoster,paternosteri o margariteri,vetro,oggettistica,beni,paternosteri e cristalleri
marzer,marzer,marzer,merciaio,merciai,commercio,servizi,marzeri
marzer,marzer,marzer,merciaio,merciai,commercio,servizi,marzeri
marzer de fontego,merzer de fontego,merciaio del fontego,merciaio,merciai,commercio,servizi,marzeri
marzer de menudo,marzer da menudo,marzer da menudo,merciaio,merciai,commercio,servizi,marzeri
marzer de menudo,marzer da menudo,marzer da menudo,merciaio,merciai,commercio,servizi,marzeri
marzer de merze milanese,marzer da merze milanese,marzer da merze milanese,merciaio,merciai,commercio,servizi,marzeri
marzer de panni da seda,marzer de panni da seda,marzer de panni da seda,merciaio,merciai,commercio,servizi,marzeri
marzer de sutil,marzer da sutil,marzer da sutil,merciaio,merciai,commercio,servizi,marzeri
marzer di vero,marzer da vero,marzer da vero,merciaio,merciai,commercio,servizi,marzeri
marzer et stringher,marzer e stringher,marzer e stringher,merciaio e stringaio,merciai,commercio,servizi,marzeri
marzer et tellariuol,marzer e telariol,marzer e telariol,merciaio e venditore di tele,merciai,commercio,servizi,marzeri
