Aleph system no.;Country code;Language code (008);Language code (041);DDC;Personal author;Corporate author;Title;Edition;Imprint;Series;Subjects;Other personal authors;Other corporate authors;DOM ID;Type;Genre;first_pdf
14831789;|||;eng;;;WATT, Alexander, F.R.S.A.;;The History of a Lump of Iron, etc. [electronic resource];;London : A. Johnston, 1884.;;;;;lsidyv3b9e71af;story;Prose;lsidyv3b9e71af
14891743;|||;eng;;;Taylor, W. C. (William Cooke), 1800-1849.;;A Popular History of British India, commercial intercourse with China, and the insular possessions of England in the Eastern Seas. [electronic resource];;London, 1842.;;India History -- Great Britain Commerce China. -- China Commerce Great Britain.;;;lsidyv37bdb94f;story;Prose;lsidyv37bdb94f
15173090;|||;eng;;;HOUGH, Franklin Benjamin.;;History of Duryée's Brigade, during the Campaign in Virginia under Gen. Pope, and in Maryland under Gen. McClellan, in the Summer and Autumn of 1862. [electronic resource];;Albany, 1864.;;;;;lsidyv38d5235f;story;Prose;lsidyv38d5235f
14871483;|||;eng;;;COOTE, Charles, LL.D.;;History of the Union of the Kingdoms of Great-Britain and Ireland: with an introductory survey of Hibernian affairs, traced from the times of Celtic colonisation. [electronic resource];;"London : Printed for the Author; sold by G. Kearsley, 1802.";;;;;lsidyv370fb881;story;Prose;lsidyv370fb881
14810256;enk;eng;;;Prest, Thomas Peckett;;"Evelina, the pauper's child; or, Poverty, crime, and sorrow. A romance of deep pathos. By the author of Ela the outcast,"" ""The Maniac father,"" &c. &c. [i.e. T. P. Prest]. [electronic resource]""";;London : Published by E. Lloyd ... , [1851].;;English fiction;;;lsidyv39833142;romance;Prose;lsidyv39833142
14830900;|||;eng;;;THYNNE, Robert.;;[The Turn of the Tide. An Irish Story of the Day.] [electronic resource];[Another edition.] The Story of a Campaign Estate, or the Turn of the Tide. A new edition [of “The Turn of the Tide”].;London : J. Long, 1899.;;;;;lsidyv38df0d45;story;Prose;lsidyv38df0d45
14830292;|||;eng;;;STOUGHTON, John, Rev., of Kensington.;;Windsor: a history and description of the Castle and the Town. [electronic resource];;London, 1862.;;;;;lsidyv3c17fdec;story;Prose;lsidyv3c17fdec
14879863;|||;eng;;;Howe, Henry, 1816-1893.;;"Historical Collections of Ohio; containing a collection of the most interesting facts, traditions, biographical sketches, anecdotes, etc. relating to its general and local history: with descriptions of its counties, principal towns and villages, etc. [electronic resource]";;Cincinnati, 1852.;;;;;lsidyv306769f1;story;Prose;lsidyv306769f1
14871968;|||;eng;;;HITCHCOCK, James Ripley Wellman.;;The Story of the West Series. Edited by Ripley Hitchcock. [electronic resource];;New York : D. Appleton & Co., 1895- .;;;;;lsidyv3740e294;story;Prose;lsidyv3740e294
15178028;|||;eng;;;BROOKS, Elbridge Streeter.;;The Story of New York ... Illustrations by L. J. Bridgman. [electronic resource];;Boston : D. Lothrop Co., [1888];;;;;lsidyv2afd34bb;story;Prose;lsidyv2afd34bb
14750893;|||;eng;;;KENRICK, William, LL.D.;;"A letter to D. Garrick. ... The second edition. (Love in the Suds; a town eclogue. Being the lamentation of Roscius for the loss of his Nyky. ... With annotations by the editor [or rather Author, W. K.,]; and an Appendix, containing queries and answers relative to the personal satisfaction pretended to have been required of the Author of the above Eclogue, by ... Roscius.) [A satire upon David Garrick and Isaac Bickerstaffe.] [electronic resource]";;London, 1772.;;;BICKERSTAFFE, Isaac. -- Garrick, David, 1717-1779.;;lsidyv2afc3b3c;satire;Prose;lsidyv2afc3b3c
14822922;|||;eng;;;CLARK, Henry Pocock.;;Clark's Guide and History of Rye, to which is added its political history, interspersed with many pleasing & interesting incidents. [electronic resource];;Rye : H. P. Clark, 1861.;;;;;lsidyv34ee4acb;story;Prose;lsidyv34ee4acb
14847474;|||;eng;;;Johnson, Crisfield.;;History of Allegan and Barry Counties, Michigan, with illustrations and biographical sketches of their prominent men and pioneers. [electronic resource];;Philadelphia : D. W. Ensign & Co., 1880.;;;;;lsidyv35ce511e;story;Prose;lsidyv35ce511e
14896344;|||;eng;;;FOX, Charles James, Attorney-at-Law.;;History of the old township of Dunstable, etc. [electronic resource];;Nashua, 1846.;;;;;lsidyv380480b5;story;Prose;lsidyv380480b5
14840768;|||;eng;;;;;History of Mills County, Iowa. ... Illustrated. [electronic resource];;Des Moines : State Historical Co., 1881.;;;;;lsidyv3584dd75;story;Prose;lsidyv3584dd75
14812438;|||;eng;;;HACKWOOD, Frederick William.;;A History of West Bromwich ... Reprinted from “Midland Sun,” etc. [electronic resource];;Birmingham : “Birmingham News” & Printing Co., 1895.;;;;;lsidyv3bdabbe7;story;Prose;lsidyv3bdabbe7
